Date;Hour;Location;Time full;Time;Distance_km;Distance;Pace
08/06/2022;8:01:00;Camp de l'Arpa;0:25:29;1529;4,86;4860;0:05:15
09/06/2022;18:15:00;Meridiana + Can Dragó;0:26:00;1560;5,33;5330;0:04:53
12/06/2022;18:21:00;Padilla abaix + Passeig marítim + Forum + Diagonal;0:59:17;3557;11,29;11290;0:05:15
18/06/2022;16:27:00;Padilla abaix + Passeig marítim + Sant Martí;0:57:07;3427;10,3;10300;0:05:33
26/06/2022;15:56:00;Padilla abaix + Passeig marítim + Sant Martí;0:34:18;2058;6,82;6820;0:05:02
30/06/2022;17:04:00;Can Dragó;0:15:19;919;3,28;3280;0:04:40
18/07/2022;16:33:00;Can Dragó;0:23:01;1381;4,81;4810;0:04:47
26/07/2022;19:00:00;Can Dragó;0:22:14;1334;4,29;4290;0:05:11
27/07/2022;18:35:00;Guinardó;0:18:57;1137;3,53;3530;0:05:22
01/08/2022;18:38:00;Diagonal;0:19:33;1173;2,81;2810;0:06:57
05/08/2022;18:39:00;Diagonal;0:33:44;2024;4,94;4940;0:06:50
06/08/2022;15:30:00;Padilla abaix;0:23:14;1394;4,88;4880;0:04:46
07/08/2022;18:38:00;Diagonal;0:19:21;1161;3,09;3090;0:06:16
08/08/2022;19:00:00;Camp de l'Arpa;0:24:44;1484;4,89;4890;0:05:03
17/08/2022;16:10:00;Diagonal;0:21:07;1267;4,82;4820;0:04:23
19/08/2022;18:04:00;Padilla abaix;0:22:42;1362;4,34;4340;0:05:14
20/08/2022;10:11:00;Camp de l'Arpa + Can Dragó;0:24:31;1471;5,01;5010;0:04:54
30/08/2022;18:51:00;Diagonal;0:29:01;1741;4,53;4530;0:06:24
31/08/2022;17:28:00;Can Dragó;0:32:30;1950;6,64;6640;0:04:54
01/09/2022;18:22:00;Can Dragó;0:16:42;1002;3,63;3630;0:04:36
02/09/2022;17:20:00;Can Dragó;0:20:31;1231;4,6;4600;0:04:28
11/09/2022;17:20:00;Can Dragó;0:15:04;904;3,63;3630;0:04:09
13/09/2022;16:30:00;Can Dragó;0:20:34;1234;4,53;4530;0:04:32
20/09/2022;18:45:00;Can Dragó;0:23:11;1391;5,37;5370;0:04:19
06/10/2022;5:50:00;Padilla abaix;0:25:12;1512;5,17;5170;0:04:52
16/10/2022;17:06:00;Forum;0:22:29;1349;5,21;5210;0:04:19
18/10/2022;15:12:00;Padilla Abaix;0:14:27;867;3,04;3040;0:04:45
03/11/2022;20:48:00;Can Dragó;0:15:01;901;3,67;3670;0:04:06
14/11/2022;16:07:00;Vall d'Hebron;0:37:14;2234;7,37;7370;0:05:03
20/11/2022;12:00:00;Cursa Vilafranca;0:19:37;1177;5;5000;0:03:55
06/12/2022;18:04:00;Diagonal;0:21:56;1316;5,03;5030;0:04:22
12/12/2022;19:43:00;Meridiana + Can Dragó;0:48:09;2889;9,68;9680;0:04:58
19/12/2022;18:17:00;Meridiana + Can Dragó;0:25:46;1546;5,67;5670;0:04:33
24/12/2022;11:04:00;Sant Martí;0:22:21;1341;4,4;4400;0:05:05
31/12/2022;17:00:00;Cursa Nassos;0:47:25;2845;10;10000;0:04:45
20/03/2023;18:59:00;Can Dragó;0:20:53;1253;4,93;4930;0:04:14
03/04/2023;17:53:00;Guinardó;0:29:10;1750;5,46;5460;0:05:21
29/04/2023;19:00:00;Cursa Nocturna;0:21:58;1318;5;5000;0:04:24
24/06/2023;17:29:00;Padilla abaix + Passeig marítim;0:21:09;1269;4,42;4420;0:04:47
07/07/2023;17:59:00;Diagonal;0:27:40;1660;3,93;3930;0:07:02
10/07/2023;18:28:00;Diagonal;0:26:55;1615;3,64;3640;0:07:24
27/07/2023;18:58:00;Diagonal;0:32:47;1967;5,46;5460;0:06:00
30/07/2023;18:57:00;Diagonal;0:26:56;1616;4,71;4710;0:05:43
01/08/2023;19:02:00;Diagonal;0:29:17;1757;4,56;4560;0:06:25
08/08/2023;17:59:00;Diagonal;0:23:52;1432;4,74;4740;0:05:02
30/08/2023;19:05:00;Diagonal;0:25:44;1544;5,33;5330;0:04:50
13/09/2023;19:40:00;Can Dragó;0:17:19;1039;3,79;3790;0:04:34
17/09/2023;17:13:00;Vall d'Hebron;0:35:38;2138;6,49;6490;0:05:29
